id,vehicle_id,route_id,stop_id,lat,lon,delay_seconds,delay_minutes,status,on_time,period,timestamp,date,hour,day_of_week,is_weekend
1,OC-1000,O1,AA500,45.41997956741521,-75.7074418482859,587,9.8,very_late,0,PM Peak,2026-05-12T16:20:09.023174,2026-05-12,16,Tuesday,0
2,OC-1001,2,BUS05,45.33912713071793,-75.91362521904055,177,3.0,on_time,1,PM Peak,2026-05-12T16:24:23.023174,2026-05-12,16,Tuesday,0
3,OC-1002,12,BUS04,45.27879535060275,-75.74340046224889,-115,-1.9,early,1,PM Peak,2026-05-12T16:59:32.023174,2026-05-12,16,Tuesday,0
4,OC-1003,96,BUS01,45.38311276283292,-75.69452279871683,67,1.1,on_time,1,PM Peak,2026-05-12T16:33:29.023174,2026-05-12,16,Tuesday,0
5,OC-1004,7,BUS01,45.38286125504843,-75.69494602348396,-21,-0.3,on_time,1,PM Peak,2026-05-12T16:41:40.023174,2026-05-12,16,Tuesday,0
6,OC-1005,2,AA490,45.41438997746538,-75.71458509587454,-68,-1.1,early,1,PM Peak,2026-05-12T16:44:23.023174,2026-05-12,16,Tuesday,0
7,OC-1006,1,BUS02,45.379514137508835,-75.66479183747491,-31,-0.5,on_time,1,PM Peak,2026-05-12T16:55:03.023174,2026-05-12,16,Tuesday,0
8,OC-1007,O1,AA580,45.42627822059529,-75.60335494672573,15,0.2,on_time,1,PM Peak,2026-05-12T16:57:51.023174,2026-05-12,16,Tuesday,0
9,OC-1008,18,AA490,45.411404005717635,-75.71588810558757,25,0.4,on_time,1,PM Peak,2026-05-12T17:16:50.023174,2026-05-12,17,Tuesday,0
10,OC-1009,O1,AA580,45.426838028123086,-75.6049320887118,-8,-0.1,on_time,1,PM Peak,2026-05-12T16:29:33.023174,2026-05-12,16,Tuesday,0
11,OC-1010,O1,AA490,45.41313655950812,-75.7160207562994,280,4.7,late,0,PM Peak,2026-05-12T17:00:02.023174,2026-05-12,17,Tuesday,0
12,OC-1011,95,AA590,45.433227798975096,-75.58726154299603,314,5.2,very_late,0,PM Peak,2026-05-12T16:36:52.023174,2026-05-12,16,Tuesday,0
13,OC-1012,1,AA540,45.415261812192234,-75.6709290364961,-99,-1.6,early,1,PM Peak,2026-05-12T17:14:33.023174,2026-05-12,17,Tuesday,0
14,OC-1013,12,BUS06,45.475850506176215,-75.50500307496203,590,9.8,very_late,0,PM Peak,2026-05-12T17:18:16.023174,2026-05-12,17,Tuesday,0
15,OC-1014,O1,BUS02,45.37898651003078,-75.66475452746336,-22,-0.4,on_time,1,PM Peak,2026-05-12T16:28:12.023174,2026-05-12,16,Tuesday,0
16,OC-1015,18,BUS06,45.476447985774854,-75.50301069688804,175,2.9,on_time,1,PM Peak,2026-05-12T16:47:41.023174,2026-05-12,16,Tuesday,0
17,OC-1016,7,BUS04,45.2781884655017,-75.7455614034786,-42,-0.7,on_time,1,PM Peak,2026-05-12T16:52:08.023174,2026-05-12,16,Tuesday,0
18,OC-1017,O1,AA520,45.42638563612293,-75.6934609307533,297,5.0,late,0,PM Peak,2026-05-12T17:12:31.023174,2026-05-12,17,Tuesday,0
19,OC-1018,97,BUS02,45.38144311880894,-75.66695407591223,5,0.1,on_time,1,PM Peak,2026-05-12T16:54:34.023174,2026-05-12,16,Tuesday,0
20,OC-1019,O2,AA500,45.42006730075981,-75.70543615280569,138,2.3,on_time,1,PM Peak,2026-05-12T17:04:59.023174,2026-05-12,17,Tuesday,0
21,OC-1020,2,AA560,45.411012981264406,-75.63911163175476,-31,-0.5,on_time,1,PM Peak,2026-05-12T16:48:07.023174,2026-05-12,16,Tuesday,0
22,OC-1021,O2,AA550,45.41465051135738,-75.65251792572064,-28,-0.5,on_time,1,PM Peak,2026-05-12T16:52:37.023174,2026-05-12,16,Tuesday,0
23,OC-1022,18,BUS04,45.279495655410365,-75.74535380385699,-21,-0.3,on_time,1,PM Peak,2026-05-12T17:00:01.023174,2026-05-12,17,Tuesday,0
24,OC-1023,96,AA010,45.34607790696954,-75.80428360553493,1,0.0,on_time,1,PM Peak,2026-05-12T16:59:20.023174,2026-05-12,16,Tuesday,0
25,OC-1024,18,AA540,45.41626942777475,-75.67168497180684,26,0.4,on_time,1,PM Peak,2026-05-12T16:22:24.023174,2026-05-12,16,Tuesday,0
26,OC-1025,O2,BUS03,45.360130824678116,-75.64149695795392,-42,-0.7,on_time,1,PM Peak,2026-05-12T17:14:09.023174,2026-05-12,17,Tuesday,0
27,OC-1026,O1,BUS03,45.36011069514967,-75.63957362433007,-44,-0.7,on_time,1,PM Peak,2026-05-12T16:55:58.023174,2026-05-12,16,Tuesday,0
28,OC-1027,12,BUS05,45.33980460425356,-75.9127531348348,614,10.2,very_late,0,PM Peak,2026-05-12T17:10:00.023174,2026-05-12,17,Tuesday,0
29,OC-1028,O1,AA580,45.42648401678347,-75.60510121065187,118,2.0,on_time,1,PM Peak,2026-05-12T16:48:21.023174,2026-05-12,16,Tuesday,0
30,OC-1029,38,AA010,45.34835376045764,-75.80797123664405,104,1.7,on_time,1,PM Peak,2026-05-12T16:58:36.023174,2026-05-12,16,Tuesday,0
31,OC-1030,O2,AA170,45.39712565183221,-75.73767828604367,-33,-0.6,on_time,1,PM Peak,2026-05-12T16:34:04.023174,2026-05-12,16,Tuesday,0
32,OC-1031,96,AA540,45.41485694722948,-75.6714707526051,301,5.0,very_late,0,PM Peak,2026-05-12T16:37:27.023174,2026-05-12,16,Tuesday,0
33,OC-1032,97,BUS06,45.47689189177178,-75.50537176015405,20,0.3,on_time,1,PM Peak,2026-05-12T16:50:43.023174,2026-05-12,16,Tuesday,0
34,OC-1033,2,AA500,45.42069431449208,-75.70613190132785,22,0.4,on_time,1,PM Peak,2026-05-12T17:03:26.023174,2026-05-12,17,Tuesday,0
35,OC-1034,O2,AA170,45.39739367148461,-75.73738951487158,311,5.2,very_late,0,PM Peak,2026-05-12T17:04:25.023174,2026-05-12,17,Tuesday,0
36,OC-1035,38,AA500,45.42114514301564,-75.70743927081162,-18,-0.3,on_time,1,PM Peak,2026-05-12T16:35:25.023174,2026-05-12,16,Tuesday,0
37,OC-1036,7,AA550,45.4146930623971,-75.65422747701979,25,0.4,on_time,1,PM Peak,2026-05-12T16:50:01.023174,2026-05-12,16,Tuesday,0
38,OC-1037,96,AA500,45.42234411034032,-75.70412401497086,304,5.1,very_late,0,PM Peak,2026-05-12T16:21:54.023174,2026-05-12,16,Tuesday,0
39,OC-1038,12,AA520,45.424854989196795,-75.6933958388298,60,1.0,on_time,1,PM Peak,2026-05-12T16:46:11.023174,2026-05-12,16,Tuesday,0
40,OC-1039,1,AA520,45.425060812232694,-75.6918637175922,-126,-2.1,early,1,PM Peak,2026-05-12T16:44:19.023174,2026-05-12,16,Tuesday,0
41,OC-1040,95,AA560,45.41498169075797,-75.63977692670638,616,10.3,very_late,0,PM Peak,2026-05-12T16:47:19.023174,2026-05-12,16,Tuesday,0
42,OC-1041,O2,BUS03,45.35887080359365,-75.64176606683198,-12,-0.2,on_time,1,PM Peak,2026-05-12T16:29:01.023174,2026-05-12,16,Tuesday,0
43,OC-1042,O2,BUS05,45.33922866109163,-75.91166328962217,590,9.8,very_late,0,PM Peak,2026-05-12T16:22:36.023174,2026-05-12,16,Tuesday,0
44,OC-1043,96,BUS04,45.27832044586096,-75.74525670015608,-118,-2.0,early,1,PM Peak,2026-05-12T16:29:11.023174,2026-05-12,16,Tuesday,0
45,OC-1044,97,AA490,45.41147954645579,-75.71343885074349,-5,-0.1,on_time,1,PM Peak,2026-05-12T17:04:32.023174,2026-05-12,17,Tuesday,0
46,OC-1045,12,BUS06,45.475327933621976,-75.5043705073421,-111,-1.9,early,1,PM Peak,2026-05-12T16:59:02.023174,2026-05-12,16,Tuesday,0
47,OC-1046,97,BUS04,45.28067890389908,-75.74474326454882,-17,-0.3,on_time,1,PM Peak,2026-05-12T16:40:02.023174,2026-05-12,16,Tuesday,0
48,OC-1047,18,AA590,45.4321999883192,-75.5887352912149,311,5.2,very_late,0,PM Peak,2026-05-12T16:27:23.023174,2026-05-12,16,Tuesday,0
49,OC-1048,2,AA010,45.34998438579142,-75.8077069571156,186,3.1,late,0,PM Peak,2026-05-12T16:49:44.023174,2026-05-12,16,Tuesday,0
50,OC-1049,12,BUS04,45.27939603533986,-75.74572483474375,-1,0.0,on_time,1,PM Peak,2026-05-12T16:36:33.023174,2026-05-12,16,Tuesday,0
51,OC-1050,12,AA580,45.429334979818556,-75.60318584029964,-32,-0.5,on_time,1,PM Peak,2026-05-12T16:37:54.023174,2026-05-12,16,Tuesday,0
52,OC-1051,97,BUS04,45.28021840912996,-75.74227297584225,322,5.4,very_late,0,PM Peak,2026-05-12T16:18:59.023174,2026-05-12,16,Tuesday,0
53,OC-1052,2,AA510,45.42442814391084,-75.69878710543645,-34,-0.6,on_time,1,PM Peak,2026-05-12T16:36:30.023174,2026-05-12,16,Tuesday,0
54,OC-1053,18,AA560,45.41237152115117,-75.63925001148479,15,0.2,on_time,1,PM Peak,2026-05-12T16:59:44.023174,2026-05-12,16,Tuesday,0
55,OC-1054,18,BUS04,45.281632636184874,-75.74579680442535,27,0.5,on_time,1,PM Peak,2026-05-12T16:51:48.023174,2026-05-12,16,Tuesday,0
56,OC-1055,O1,BUS01,45.38201418275635,-75.69491552310792,-28,-0.5,on_time,1,PM Peak,2026-05-12T17:15:04.023174,2026-05-12,17,Tuesday,0
57,OC-1056,O1,AA550,45.4132067216845,-75.65428925232408,598,10.0,very_late,0,PM Peak,2026-05-12T16:29:28.023174,2026-05-12,16,Tuesday,0
58,OC-1057,1,AA500,45.419596217141915,-75.70785588744776,627,10.4,very_late,0,PM Peak,2026-05-12T16:23:35.023174,2026-05-12,16,Tuesday,0
59,OC-1058,38,BUS06,45.475509782077125,-75.50576696660028,-33,-0.6,on_time,1,PM Peak,2026-05-12T16:56:10.023174,2026-05-12,16,Tuesday,0
60,OC-1059,1,AA580,45.42866773364254,-75.60458528546154,285,4.8,late,0,PM Peak,2026-05-12T16:32:47.023174,2026-05-12,16,Tuesday,0
61,OC-1060,96,BUS01,45.38570305529028,-75.69705305067109,579,9.7,very_late,0,PM Peak,2026-05-12T17:00:49.023174,2026-05-12,17,Tuesday,0
62,OC-1061,7,AA520,45.426946257887025,-75.6936712581282,-139,-2.3,early,1,PM Peak,2026-05-12T16:46:35.023174,2026-05-12,16,Tuesday,0
63,OC-1062,40,AA540,45.416805112752556,-75.67046983310962,-10,-0.2,on_time,1,PM Peak,2026-05-12T16:36:39.023174,2026-05-12,16,Tuesday,0
64,OC-1063,1,BUS03,45.361673807604916,-75.64060136630222,22,0.4,on_time,1,PM Peak,2026-05-12T16:33:38.023174,2026-05-12,16,Tuesday,0
65,OC-1064,12,AA540,45.41559386391425,-75.6708855877559,282,4.7,late,0,PM Peak,2026-05-12T16:20:03.023174,2026-05-12,16,Tuesday,0
66,OC-1065,2,AA550,45.412598713537434,-75.65207540125121,302,5.0,very_late,0,PM Peak,2026-05-12T16:42:25.023174,2026-05-12,16,Tuesday,0
67,OC-1066,96,AA570,45.420881602444084,-75.6192857287353,-34,-0.6,on_time,1,PM Peak,2026-05-12T16:20:20.023174,2026-05-12,16,Tuesday,0
68,OC-1067,18,AA170,45.39838274844672,-75.73585428728718,177,3.0,on_time,1,PM Peak,2026-05-12T16:25:51.023174,2026-05-12,16,Tuesday,0
69,OC-1068,40,BUS04,45.28030635217399,-75.74498110997544,57,0.9,on_time,1,PM Peak,2026-05-12T16:26:20.023174,2026-05-12,16,Tuesday,0
70,OC-1069,O2,BUS01,45.3852260434788,-75.69525257141234,149,2.5,on_time,1,PM Peak,2026-05-12T16:18:33.023174,2026-05-12,16,Tuesday,0
71,OC-1070,O2,AA530,45.42479549794389,-75.68031691657514,4,0.1,on_time,1,PM Peak,2026-05-12T16:43:18.023174,2026-05-12,16,Tuesday,0
72,OC-1071,97,AA570,45.42060018734038,-75.61797150998386,-44,-0.7,on_time,1,PM Peak,2026-05-12T17:03:44.023174,2026-05-12,17,Tuesday,0
73,OC-1072,O1,BUS01,45.3831826208101,-75.69749084880377,44,0.7,on_time,1,PM Peak,2026-05-12T16:40:43.023174,2026-05-12,16,Tuesday,0
74,OC-1073,40,AA590,45.43169610937284,-75.58772357898053,627,10.4,very_late,0,PM Peak,2026-05-12T17:04:41.023174,2026-05-12,17,Tuesday,0
75,OC-1074,40,BUS05,45.34014765486748,-75.91228044740005,-131,-2.2,early,1,PM Peak,2026-05-12T17:15:21.023174,2026-05-12,17,Tuesday,0
76,OC-1075,97,AA570,45.41970250893276,-75.6179553040125,58,1.0,on_time,1,PM Peak,2026-05-12T16:50:11.023174,2026-05-12,16,Tuesday,0
77,OC-1076,O2,AA520,45.42606180803966,-75.69246823657693,-72,-1.2,early,1,PM Peak,2026-05-12T17:03:25.023174,2026-05-12,17,Tuesday,0
78,OC-1077,38,AA490,45.412241677857175,-75.7137737484217,13,0.2,on_time,1,PM Peak,2026-05-12T17:14:19.023174,2026-05-12,17,Tuesday,0
79,OC-1078,7,AA010,45.348445095892245,-75.804926042644,0,0.0,on_time,1,PM Peak,2026-05-12T16:21:36.023174,2026-05-12,16,Tuesday,0
80,OC-1079,95,BUS01,45.384873383662,-75.69646408613043,162,2.7,on_time,1,PM Peak,2026-05-12T17:01:26.023174,2026-05-12,17,Tuesday,0
81,OC-1080,40,AA540,45.41402217927255,-75.66899614209353,314,5.2,very_late,0,PM Peak,2026-05-12T16:28:31.023174,2026-05-12,16,Tuesday,0
82,OC-1081,2,BUS01,45.38583186416912,-75.69592816899822,-9,-0.1,on_time,1,PM Peak,2026-05-12T16:33:23.023174,2026-05-12,16,Tuesday,0
83,OC-1082,1,BUS05,45.33953335642223,-75.91214142705002,-61,-1.0,early,1,PM Peak,2026-05-12T16:35:27.023174,2026-05-12,16,Tuesday,0
84,OC-1083,96,BUS05,45.342021000054224,-75.91222970629893,30,0.5,on_time,1,PM Peak,2026-05-12T16:59:05.023174,2026-05-12,16,Tuesday,0
